end_date,profit_dedt,n_cashflow_act,total_cur_liab,total_ncl,total_assets,total_revenue,oper_cost,total_cur_assets,ts_code
20220930,67388917.87,18144021.25,253178770.65,41544232.29,1705246790.39,267607862.82999998,177870663.45000005,1110519553.68,300855.SZ
20220630,75142895.08,43015336.21,172326781.15,38710723.89,1549877623.9,249280733.69000003,153696611.61999997,992082084.78,300855.SZ
20220331,40135974.55,15752273.87,105796119.1,38843928.95,1419542482.4,212050592.72,139909358.53,923592731.73,300855.SZ
20211231,49132441.64999999,89995391.19999999,102314920.16,39118797.02,1367336556.62,177072555.85000008,114191506.50999999,920562159.94,300855.SZ
20210930,37117320.5,2275942.9900000095,131048013.41,343447.83,1300927469.29,173335612.82999998,113358348.88000003,893249606.26,300855.SZ
20220930,37725385.84,37207509.17,166632157.28,267026244.62,3122034696.82,93432732.65,27484655.11999999,1277296184.5,301215.SZ
20220630,30983828.96,-621484.8800000008,144423729.23,268278579.35,3055030066.25,82163155.96,25259204.040000003,1246498720.16,301215.SZ
20220331,15422447.93,13863498.9,170019376.67,269530914.08,3073390920.16,59956211.64,22602426.05,1363915760.73,301215.SZ
20211231,22036025.60000001,73112949.32999998,296329443.53,270784692.21,1995691959.55,80985535.96999997,25108074.299999997,291322877.05,301215.SZ
20210930,26201762.319999993,40611556.28999999,295264445.36,291439408.41,1989594347.69,79042943.5,22733424.759999998,312739285.05,301215.SZ
20220930,29524833.53,8129609.85,1164117936.45,35481890.35,3442153240.45,337395036.08000004,217362495.64,2264852894.44,002380.SZ
20220630,8840208.620000001,7581674.239999998,1266075441.35,32483378.2,3517998638.44,314512585.02,214343313.57,2330269695.86,002380.SZ
20220331,1051358.38,-30791772.72,1074687411.93,28267375.55,3308504759.61,248035260.54,165464977.2,2115395229.85,002380.SZ
20211231,-18440015.149999995,-270115345.86,1104595860.03,29743732.19,3337436020.38,396908823.8800001,277690252.2300001,2147717447.3,002380.SZ
20210930,11141585.389999997,539561.0399999917,818644089.68,16388232.2,3064816838.32,295123046.56,205807017.88,1834587576.09,002380.SZ
20220930,4909350.520000001,10443938.899999999,36887441.06,15075724.66,595492763.1,63044137.80999999,47982798.33000001,285259604.13,300886.SZ
20220630,6117304.029999999,-4458375.78,47159880.86,15490605.56,599418204.98,62636226.230000004,47459936.91,308007582.48,300886.SZ
20220331,5135501.17,9553955.81,26534581.38,15910486.5,572542759.76,56752451.78,42849905.25,326986492.44,300886.SZ
20211231,-3609400.219999999,-4669117.719999999,31701013.37,15452032.35,569379494.75,73852600.46000001,59332366.000000015,328505950.28,300886.SZ
20210930,2720983.74,10169422.919999998,23166418.37,15919286.09,563961203.16,50295708.34,38986427.870000005,342535018.37,300886.SZ
20220930,79474690.66,225816208.85000002,4281676213.01,50772282.69,5947116665.11,1319323016.2599998,1161794557.23,5394936025.98,002116.SZ
20220630,57456102.83,610643994.53,4070214416.59,42563784.99,5659743174.7,1377323588.2800002,1203458327.34,5121654984.33,002116.SZ
20220331,39583138.83,-251114346.54,3434157083.69,42279064.37,5017393454.83,1103387879.62,951083850.2,4472374529.35,002116.SZ
20211231,37217724.889999986,168387866.74,3325177973.47,45637820.8,4872641221.67,1932773490.4700003,1645706194.38,4326544588.06,002116.SZ
20210930,30071709.870000005,298667371.85,3414563852.41,41664891.85,4939172187.27,1065785664.69,947293605.75,4396507984.59,002116.SZ
20220930,13888642.899999995,-2795727.4499999993,156771820.81,10858238.13,818311041.6,114647315.94,67756791.35,769357544.66,301025.SZ
20220630,13168513.540000003,-4917215.220000001,152912570.09,12351106.93,789908262.59,141221127.71,92854206.25999999,739718313.63,301025.SZ
20220331,6573906.97,-12941685.35,137389743.55,13045648.98,782067701.46,113243741.28,74372474.18,730666664.53,301025.SZ
20211231,16552941.759999998,44523622.339999996,138639681.65,14927214.84,777584291.62,177804695.73000002,108233905.39999998,725242227.65,301025.SZ
20210930,16611607.329999998,3491963.1999999997,94096593.59,16915264.9,711953747.56,101769544.1,63278631.67000002,650172946.33,301025.SZ
20220930,12489240.1,-21462353.529999997,683524705.07,596507128.41,2711123651.6,292398838.5999999,252839284.43,1245307469.34,300658.SZ
20220630,8255157.73,32227725.259999998,696849806.48,530711510.24,2263385474.22,291649219.95000005,245150091.68,888976692.95,300658.SZ
20220331,3382345.01,6432502.28,710515958.28,456538954.21,2198870268.03,323665417.62,275922674.5,884060653.27,300658.SZ
20211231,-3832570.6,-28971567.089999996,750049036.32,376711955.68,2153157807.64,372316898.27,386929489.33000004,958466224.36,300658.SZ
20210930,854116.73,5811834.349999994,594197414.3,373707520.87,1993616538.32,311877825.57000005,228611891.35999995,1022495806.11,300658.SZ
20220930,41094973.57,-28202482.97,539787229.3,154497841.48,1190752502.1,162369301.66,75098398.32000001,609898654.28,688071.SH
20220630,-15846502.389999999,-5871556.460000001,505408857.28,98603581.9,1053979051.71,20703651.03,15214881.93,522360520.39,688071.SH
20220331,-4256682.15,-24816882.15,482007292.18,103617552.56,1049069778.82,50096406.19,29781015.79,532960818.0,688071.SH
